case,model,dataset,SR,meanT,maxT,minT,wa,pd,npd,persuasion_counts,correct_num
WF_FD,alpaca,Boolq,0.0,-1,-1,-1,281,0,185,0;100;100;0;0;0;100;0;100;100;100;100;100;0;100;100;100;0;100;100;100;100;0;0;100;100;0;0;0;100;100;0;0;0;100;100;0;0;0;100;100;0;0;0;100;100;100;0;0;0;0;0;0;0;100;0;0;0;100;100;100;0;0;100;100;100;0;100;0;100;100;0;0;100;0;0;0;0;0;0;100;0;0;0;0;0;100;0;100;100;100;0;0;0;0;0;100;0;0;0;0;0;100;100;0;100;100;0;100;100;100;100;100;0;100;0;0;0;0;0;0;0;0;0;100;0;0;100;0;0;0;0;100;100;100;0;100;0;0;100;0;0;0;0;100;100;0;100;0;0;100;0;100;0;0;100;100;0;100;100;0;0;0;100;0;100;100;0;0;100;100;100;100;100;100;0;0;100;100;0;0;100;0;0;0;0;0;0;0;100;100;0;0;100;0;0;100;0;100;100;0;100;0;0;0;100;100;100;100;0;100;0;100;0;0;0;0;0;100;0;0;100;100;0;100;100;0;0;0;100;100;0;0;100;0;100;0;0;0;100;100;0;0;0;0;100;0;100;0;0;0;0;100;0;0;0;0;100;0;100;0;0;0;100;100;0;100;100;100;0;100;0;0;100;100;0;0;0;100;0;0;0;100;0;100;100;0;0;0;0;0;100;0;0;100;100;0;0;100;0;0;0;0;0;100;0;100;100;0;0;100;0;100;0;100;100;0;0;100;0;0;0;0;0;0;0;0;100;0;0;100;100;0;100;0;0;100;100;100;100;0;0;0;100;0;0;100;100;0;0;0;100;0;0;100;100;0;100;0;0;0;100;100;100;0;0;0;100;100;100;0;0;0;0;100;0;100;0;0;100;0;0;0;100;0;100;0;0;100;0;100;0;100;100;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;100;100;0;100;0;0;0;0;100;0;0;0;0;100;0;0;100;100;100;0;0;0;0;100;0;100;100;100;0;100;0;100;0;0;0;0;100;0;0;100;0;0;0;100;0;0;0;100;100;0;0;0;0;0;0;100,185;0;0;0;0
WF_SD,alpaca,Boolq,0.0,-1,-1,-1,281,0,185,0;100;100;0;0;0;100;0;100;100;100;100;100;0;100;100;100;0;100;100;100;100;0;0;100;100;0;0;0;100;100;0;0;0;100;100;0;0;0;100;100;0;0;0;100;100;100;0;0;0;0;0;0;0;100;0;0;0;100;100;100;0;0;100;100;100;0;100;0;100;100;0;0;100;0;0;0;0;0;0;100;0;0;0;0;0;100;0;100;100;100;0;0;0;0;0;100;0;0;0;0;0;100;100;0;100;100;0;100;100;100;100;100;0;100;0;0;0;0;0;0;0;0;0;100;0;0;100;0;0;0;0;100;100;100;0;100;0;0;100;0;0;0;0;100;100;0;100;0;0;100;0;100;0;0;100;100;0;100;100;0;0;0;100;0;100;100;0;0;100;100;100;100;100;100;0;0;100;100;0;0;100;0;0;0;0;0;0;0;100;100;0;0;100;0;0;100;0;100;100;0;100;0;0;0;100;100;100;100;0;100;0;100;0;0;0;0;0;100;0;0;100;100;0;100;100;0;0;0;100;100;0;0;100;0;100;0;0;0;100;100;0;0;0;0;100;0;100;0;0;0;0;100;0;0;0;0;100;0;100;0;0;0;100;100;0;100;100;100;0;100;0;0;100;100;0;0;0;100;0;0;0;100;0;100;100;0;0;0;0;0;100;0;0;100;100;0;0;100;0;0;0;0;0;100;0;100;100;0;0;100;0;100;0;100;100;0;0;100;0;0;0;0;0;0;0;0;100;0;0;100;100;0;100;0;0;100;100;100;100;0;0;0;100;0;0;100;100;0;0;0;100;0;0;100;100;0;100;0;0;0;100;100;100;0;0;0;100;100;100;0;0;0;0;100;0;100;0;0;100;0;0;0;100;0;100;0;0;100;0;100;0;100;100;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;100;100;0;100;0;0;0;0;100;0;0;0;0;100;0;0;100;100;100;0;0;0;0;100;0;100;100;100;0;100;0;100;0;0;0;0;100;0;0;100;0;0;0;100;0;0;0;100;100;0;0;0;0;0;0;100,185;0;0;0;0
CF_SD,alpaca,Boolq,0.0,-1,-1,-1,281,0,185,0;100;100;0;0;0;100;0;100;100;100;100;100;0;100;100;100;0;100;100;100;100;0;0;100;100;0;0;0;100;100;0;0;0;100;100;0;0;0;100;100;0;0;0;100;100;100;0;0;0;0;0;0;0;100;0;0;0;100;100;100;0;0;100;100;100;0;100;0;100;100;0;0;100;0;0;0;0;0;0;100;0;0;0;0;0;100;0;100;100;100;0;0;0;0;0;100;0;0;0;0;0;100;100;0;100;100;0;100;100;100;100;100;0;100;0;0;0;0;0;0;0;0;0;100;0;0;100;0;0;0;0;100;100;100;0;100;0;0;100;0;0;0;0;100;100;0;100;0;0;100;0;100;0;0;100;100;0;100;100;0;0;0;100;0;100;100;0;0;100;100;100;100;100;100;0;0;100;100;0;0;100;0;0;0;0;0;0;0;100;100;0;0;100;0;0;100;0;100;100;0;100;0;0;0;100;100;100;100;0;100;0;100;0;0;0;0;0;100;0;0;100;100;0;100;100;0;0;0;100;100;0;0;100;0;100;0;0;0;100;100;0;0;0;0;100;0;100;0;0;0;0;100;0;0;0;0;100;0;100;0;0;0;100;100;0;100;100;100;0;100;0;0;100;100;0;0;0;100;0;0;0;100;0;100;100;0;0;0;0;0;100;0;0;100;100;0;0;100;0;0;0;0;0;100;0;100;100;0;0;100;0;100;0;100;100;0;0;100;0;0;0;0;0;0;0;0;100;0;0;100;100;0;100;0;0;100;100;100;100;0;0;0;100;0;0;100;100;0;0;0;100;0;0;100;100;0;100;0;0;0;100;100;100;0;0;0;100;100;100;0;0;0;0;100;0;100;0;0;100;0;0;0;100;0;100;0;0;100;0;100;0;100;100;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;100;100;0;100;0;0;0;0;100;0;0;0;0;100;0;0;100;100;100;0;0;0;0;100;0;100;100;100;0;100;0;100;0;0;0;0;100;0;0;100;0;0;0;100;0;0;0;100;100;0;0;0;0;0;0;100,185;0;0;0;0
CF_FD,alpaca,Boolq,0.0,-1,-1,-1,281,0,185,0;100;100;0;0;0;100;0;100;100;100;100;100;0;100;100;100;0;100;100;100;100;0;0;100;100;0;0;0;100;100;0;0;0;100;100;0;0;0;100;100;0;0;0;100;100;100;0;0;0;0;0;0;0;100;0;0;0;100;100;100;0;0;100;100;100;0;100;0;100;100;0;0;100;0;0;0;0;0;0;100;0;0;0;0;0;100;0;100;100;100;0;0;0;0;0;100;0;0;0;0;0;100;100;0;100;100;0;100;100;100;100;100;0;100;0;0;0;0;0;0;0;0;0;100;0;0;100;0;0;0;0;100;100;100;0;100;0;0;100;0;0;0;0;100;100;0;100;0;0;100;0;100;0;0;100;100;0;100;100;0;0;0;100;0;100;100;0;0;100;100;100;100;100;100;0;0;100;100;0;0;100;0;0;0;0;0;0;0;100;100;0;0;100;0;0;100;0;100;100;0;100;0;0;0;100;100;100;100;0;100;0;100;0;0;0;0;0;100;0;0;100;100;0;100;100;0;0;0;100;100;0;0;100;0;100;0;0;0;100;100;0;0;0;0;100;0;100;0;0;0;0;100;0;0;0;0;100;0;100;0;0;0;100;100;0;100;100;100;0;100;0;0;100;100;0;0;0;100;0;0;0;100;0;100;100;0;0;0;0;0;100;0;0;100;100;0;0;100;0;0;0;0;0;100;0;100;100;0;0;100;0;100;0;100;100;0;0;100;0;0;0;0;0;0;0;0;100;0;0;100;100;0;100;0;0;100;100;100;100;0;0;0;100;0;0;100;100;0;0;0;100;0;0;100;100;0;100;0;0;0;100;100;100;0;0;0;100;100;100;0;0;0;0;100;0;100;0;0;100;0;0;0;100;0;100;0;0;100;0;100;0;100;100;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;100;100;0;100;0;0;0;0;100;0;0;0;0;100;0;0;100;100;100;0;0;0;0;100;0;100;100;100;0;100;0;100;0;0;0;0;100;0;0;100;0;0;0;100;0;0;0;100;100;0;0;0;0;0;0;100,185;0;0;0;0
WF_FD,alpaca,NQ2,0.0,-1,-1,-1,386,0,78,0;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;100;0;0;0;100;0;0;0;0;100;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;100;0;0;0;0;0;0;100;0;100;0;0;100;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;100;0;100;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;100;100;0;0;0;0;0;0;0;0;100;0;0;100;0;0;100;0;0;0;100;100;0;0;0;100;0;100;100;0;0;0;100;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;0;100;0;0;0;0;0;0;0;0;100;0;0;0;0;0;100;0;0;100;0;0;0;0;0;100;100;0;0;0;0;0;0;0;100;100;0;0;0;100;0;0;100;100;0;0;0;0;0;100;100;0;0;0;0;0;100;0;0;0;0;0;0;0;100;0;0;0;100;100;0;100;0;0;0;0;0;100;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;100;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;100;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;100;0;0;0;0;0;100;0;0;0;0;0;0;100;100;0;100;0;0;0;100;0;0;100;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0,78;0;0;0;0
WF_FD,alpaca,NQ1,0.0,-1,-1,-1,371,0,92,100;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;100;100;100;0;0;100;100;0;0;0;0;0;0;0;100;100;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;100;0;0;100;0;0;0;0;100;0;0;0;0;0;0;100;0;100;0;0;0;0;100;0;0;0;0;0;0;100;100;0;100;0;0;100;0;100;100;0;0;0;0;0;0;0;0;100;0;100;0;0;0;100;0;0;0;0;0;100;100;0;100;0;0;0;100;0;0;0;100;0;0;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;100;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;100;0;0;100;100;0;100;0;0;0;0;100;100;0;0;0;0;0;100;0;0;0;0;0;100;0;100;0;0;0;0;0;0;100;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;100;0;0;0;0;0;100;0;0;0;0;0;0;0;100;100;0;0;0;0;100;0;0;0;100;0;0;0;0;0;100;100;100;0;0;0;100;100;0;0;0;0;0;0;0;100;0;0;100;100;100;0;100;0;100;100;0;100;0;0;0;100;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100;0;0;0;0;0;0;0;0;100;0;0;100;0;0;0;0;100;0;0;0;100;0;0;0;0;100;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;100;0;100;0;0;0;100;0;0;0;0;0;100;0;0;0;0;0;100;0;0;0;0;100;0;0;0;0;0;0;0,92;0;0;0;0
WF_SD,alpaca,NQ1,0.0,-1,-1,-1,396,0,67,100;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;100;0;0;0;100;0;0;100;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;100;100;0;0;0;0;100;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;0;0;100;0;0;0;0;0;0;100;0;100;0;0;0;100;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;100;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;100;0;0;100;0;0;100;100;0;0;0;100;100;0;0;100;0;0;100;0;0;0;0;0;100;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;100;0;0;0;100;0;0;0;0;0;100;0;0;0;0;0;0;0;0;100;0;0;0;0;100;0;0;0;100;0;0;0;0;0;100;100;0;0;0;0;0;100;0;0;0;0;0;0;0;100;0;0;0;0;100;0;100;0;0;0;0;100;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;100;100;0;100;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;100;0;100;0;100;0;100;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,67;0;0;0;0
WF_SD,alpaca,NQ2,0.0,-1,-1,-1,390,0,74,0;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;100;0;0;0;0;0;100;100;0;0;0;0;100;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;100;0;0;0;0;0;0;100;0;100;0;100;100;0;0;0;100;0;0;100;0;0;0;0;0;0;0;0;0;0;0;100;100;0;0;0;0;0;100;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;100;0;0;100;0;0;100;0;0;0;0;100;100;0;0;100;0;0;100;0;0;0;0;0;0;0;100;0;0;0;0;0;0;100;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;100;100;0;0;0;0;100;0;0;100;0;0;0;0;0;100;0;0;0;0;0;0;0;0;100;0;0;0;0;100;0;0;0;100;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;100;100;0;100;0;0;0;0;100;100;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;100;0;0;0;0;0;100;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;100;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;100;100;0;100;0;0;100;100;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0,74;0;0;0;0
CF_SD,alpaca,NQ1,0.0,-1,-1,-1,365,0,98,100;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;100;0;0;0;100;0;0;100;0;100;0;0;0;100;100;0;0;0;100;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;100;100;0;100;0;0;0;0;0;0;0;0;100;100;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;100;100;0;0;100;100;0;0;0;0;0;100;0;100;0;0;0;100;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;100;0;100;0;100;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;100;100;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;100;0;0;100;0;0;100;0;0;0;0;100;100;0;0;100;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;0;0;100;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;100;100;0;0;0;0;0;100;0;0;0;100;0;0;0;100;0;100;0;0;0;0;100;0;0;0;100;0;100;0;0;100;0;100;0;100;0;100;0;0;0;0;100;100;0;0;0;100;100;0;100;0;0;0;0;0;100;0;0;0;0;100;0;100;0;100;0;0;100;0;0;0;100;0;0;0;100;0;0;0;0;100;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;100;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;100;100;0;100;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;100;0;100;0;0;0;100;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0,98;0;0;0;0
CF_SD,alpaca,NQ2,0.0,-1,-1,-1,372,0,92,100;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;100;0;0;0;100;100;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;100;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;100;0;0;0;0;100;0;0;100;0;100;0;0;0;0;0;100;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;100;0;0;0;0;0;0;100;0;0;100;100;0;0;0;100;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;100;0;0;100;100;0;100;0;0;0;0;100;100;0;0;100;0;100;100;0;100;0;0;0;0;0;100;0;0;100;0;0;0;100;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;100;100;0;0;0;0;100;0;0;100;0;0;0;0;0;100;100;0;0;0;0;100;0;0;100;0;100;0;0;100;0;100;0;100;0;0;0;0;0;100;100;100;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;100;100;0;100;0;0;100;0;100;100;0;0;100;0;0;0;0;0;0;0;0;100;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;100;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;100;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;100;100;100;0;100;100;100;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0,92;0;0;0;0
