case,model,dataset,SR,meanT,maxT,minT,wa,pd,npd,persuasion_counts,correct_num
WF_FD,gemini,Boolq,0.0,-1,-1,-1,70,0,396,"100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;0;100;0;0;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;0;100;100;100;100;0;100;100;100;100;0;100;0;100;100;100;0;0;100;0;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;0;100;0;100;0;100;100;0;100;100;100;100;100;0;100;100;100;100;0;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;0;100;100;0;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;0;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;0;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;0;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;0;0;100;100;100;100;100;100;100;100;0;100;100;0;100;100;100;0;100;100;100;100;100;100;100;0;100;100;100;100;0;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;0;100;100;100;100;100;100;100;0;0;100;100;100;100;100;100;100;0;100;100;100;0;100;0;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;0;100;100;0;0;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;0;100;100;100;0;100;100;100;100;0;0;0;100;100;0;100;100;0;100;100;100;0;100;100;100;100;100;100;0;100;100;100;100;0;100;0;100;100;100;100;100;100;0;100;100","395;0;0;0;0"
WF_SD,gemini,Boolq,0.0,-1,-1,-1,36,0,430,"100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;0;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;0;100;100;100;0;100;0;100;100;0;100;100;100;100;100;100;0;0;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;0;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;0;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;0;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;0;100;100;0;0;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100","428;0;0;0;0"
CF_SD,gemini,Boolq,0.0,-1,-1,-1,13,0,453,"100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;0;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100","452;0;0;0;0"
WF_FD,gemini,NQ1,0.0,-1,-1,-1,158,0,305,"0;0;100;100;100;0;0;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;0;0;100;100;100;0;100;100;100;0;100;100;0;0;0;0;0;0;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;0;0;100;0;100;100;100;100;100;100;100;0;100;0;100;100;100;100;0;0;100;100;100;100;100;0;100;0;0;0;0;100;100;0;0;100;0;0;100;0;0;100;100;100;0;100;100;100;100;0;100;0;100;100;100;100;100;100;100;100;0;100;100;100;0;100;100;0;100;0;0;0;0;100;100;0;100;100;0;0;0;100;100;0;0;100;100;100;100;0;0;100;100;100;100;0;100;100;0;0;0;100;100;100;0;100;100;100;0;0;100;100;0;100;0;0;100;0;0;100;100;0;100;100;0;100;100;100;100;100;0;0;100;0;100;0;100;100;0;100;100;100;100;100;100;100;100;100;0;100;100;0;0;100;100;100;0;100;100;100;100;0;100;100;100;0;0;100;0;100;0;0;0;100;100;0;100;0;100;0;100;0;100;100;100;100;100;100;100;100;100;100;100;0;0;100;100;0;100;0;100;0;100;100;100;100;100;100;0;100;100;100;100;0;100;100;100;100;100;100;100;0;100;100;100;0;100;100;100;0;0;100;100;100;0;0;0;0;0;100;100;100;100;0;0;100;100;100;100;100;100;100;0;100;100;0;100;100;0;0;0;0;0;0;0;100;100;100;100;0;100;100;100;100;100;100;0;0;100;100;100;100;100;0;100;100;0;100;100;100;100;100;100;0;100;0;100;0;100;100;0;0;100;100;100;0;100;100;100;0;100;0;100;100;0;0;100;0;100;100;100;0;100;100;100;100;100;0;100;100;0;100;100;100;100;100;100;0;0;0;0;100;0;100;100;100;100;100;0;100;0;100;100;100;0;0;0;100;100;100;100;0;100;100;100;100;100;0;0;0;100;0;100;0;0;100;100;0;0;100;0;0;0;100;100;100;100;100;0;100;0;100;0;100;100","304;0;0;0;0"
CF_FD,gemini,Boolq,0.0,-1,-1,-1,32,0,434,"100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;0;100;100;0;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;0;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;0;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;0;100;100;100;0;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;0;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;0;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;0","432;0;0;0;0"
WF_SD,gemini,NQ1,0.0,-1,-1,-1,240,0,223,"100;0;100;100;100;0;0;0;100;100;100;100;0;0;100;100;100;100;100;100;100;100;100;100;100;100;0;100;0;0;0;100;100;0;0;0;100;0;0;0;0;100;100;0;100;100;0;0;0;0;100;100;0;0;0;100;100;100;0;100;100;0;0;0;100;0;100;0;0;100;0;100;100;0;0;100;100;100;100;100;0;100;0;0;100;100;100;0;100;100;100;0;100;100;0;0;0;0;100;100;0;0;100;0;0;0;0;0;100;100;0;0;0;100;0;0;0;100;0;100;100;100;100;100;100;0;0;0;100;100;0;0;100;100;0;100;0;0;0;0;100;0;0;0;0;100;0;100;100;100;100;0;100;100;100;0;0;0;100;100;0;0;0;100;0;0;100;0;0;0;100;0;100;100;100;0;100;0;0;100;0;0;100;100;0;0;100;0;100;100;100;0;100;0;0;100;0;100;0;100;100;0;100;100;0;100;100;100;100;100;100;0;100;0;0;0;100;0;100;0;100;0;100;100;0;100;100;100;0;0;100;0;0;0;0;0;100;100;100;0;0;100;0;100;0;0;100;0;100;100;100;0;0;100;0;100;0;0;0;100;0;0;0;0;0;0;100;0;100;100;100;0;0;0;0;0;0;0;100;100;0;100;0;0;100;100;100;100;100;0;0;0;100;0;100;0;0;0;100;0;100;100;0;100;0;0;100;100;0;0;0;100;100;0;100;100;0;0;0;100;100;0;0;0;0;0;100;100;100;0;0;100;0;0;100;100;0;0;0;100;100;100;100;0;0;100;100;0;0;100;0;100;100;0;0;0;0;100;0;100;0;0;0;0;100;100;0;100;100;100;0;0;0;100;100;0;0;100;0;100;100;0;0;100;100;0;0;100;0;100;100;100;100;0;100;0;0;100;0;100;0;0;100;0;100;0;100;0;100;0;100;0;100;100;0;0;0;0;0;100;0;100;0;100;0;100;100;0;0;0;0;0;0;0;0;0;0;100;100;0;0;0;0;0;100;100;100;100;0;0;100;0;100;0;100;0","216;0;0;0;0"
CF_SD,gemini,NQ1,0.0,-1,-1,-1,191,0,272,"100;0;100;0;0;0;0;0;0;100;100;100;0;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;0;0;100;100;0;0;100;100;100;100;0;0;100;100;0;100;100;0;0;100;0;0;0;0;0;100;0;100;100;100;100;100;0;100;0;100;100;100;100;0;100;0;100;100;0;100;100;100;100;0;100;0;100;0;0;0;100;0;0;100;100;100;0;100;100;0;0;0;0;100;100;0;0;100;0;100;100;0;0;100;100;100;0;100;100;100;0;0;100;100;100;100;100;100;100;100;100;0;0;100;100;0;0;100;100;0;100;100;0;0;0;100;100;0;0;100;100;0;100;100;100;0;0;100;100;100;0;0;100;100;100;0;0;0;100;0;0;100;100;100;100;0;0;100;100;0;0;0;100;100;0;100;100;0;100;100;0;100;100;0;100;100;100;0;100;100;100;100;100;0;100;0;0;0;100;100;0;100;100;0;100;100;0;100;100;0;0;100;0;0;0;100;0;100;0;100;0;100;100;0;100;100;100;100;0;100;0;100;0;0;0;100;100;0;0;0;100;0;100;100;100;100;100;100;100;100;0;100;0;0;100;0;0;100;100;0;0;0;100;0;0;100;0;100;0;100;0;100;0;0;0;100;100;100;100;0;100;0;100;100;100;100;100;100;100;0;0;100;100;100;0;0;100;0;0;100;100;100;0;100;100;100;100;0;100;0;100;100;0;100;100;0;0;100;0;100;0;100;0;0;0;100;100;100;100;0;100;100;100;0;0;0;100;100;100;0;100;0;100;0;0;0;100;100;100;0;0;0;100;0;100;0;100;100;0;0;100;100;100;0;100;100;100;0;100;0;100;100;0;0;100;0;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;0;100;0;100;100;0;100;0;0;100;100;0;100;0;100;100;0;0;0;0;100;100;100;100;0;100;0;100;100;0;0;0;0;100;0;100;0;0;100;100;100;0;0;0;0;0;100;100;100;100;100;100;100;0;100;0;100;100","267;0;0;0;0"
CF_FD,gemini,NQ1,0.0,-1,-1,-1,161,0,302,"100;0;100;0;100;100;0;0;100;100;100;0;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;0;100;100;0;0;0;100;0;100;100;0;100;100;0;0;100;0;0;100;0;0;100;100;100;100;100;100;0;0;100;0;100;100;100;100;100;0;0;100;100;0;100;100;100;100;100;100;100;100;100;0;0;0;100;0;100;100;100;0;0;100;0;0;0;0;0;100;0;100;100;0;0;100;0;0;100;100;100;0;0;100;100;0;0;100;100;100;100;100;100;100;100;100;0;0;100;100;100;0;100;100;0;100;0;100;100;100;100;0;100;100;100;0;0;0;100;100;0;0;100;100;100;0;0;100;100;100;100;0;0;100;0;0;100;100;100;100;100;0;100;100;100;100;100;0;0;100;100;0;100;100;0;100;100;100;100;100;100;0;100;100;100;100;100;100;0;100;100;0;100;0;0;100;100;0;100;100;0;0;100;0;100;0;100;100;100;100;0;100;0;100;0;0;100;100;0;100;100;0;0;100;0;100;100;0;0;100;100;100;0;100;100;0;100;0;100;100;100;0;100;100;100;100;0;100;100;100;0;0;100;100;100;100;100;0;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;0;0;100;0;100;0;100;0;0;0;100;100;100;0;0;0;100;100;0;100;100;100;100;100;100;100;0;100;0;0;100;0;100;100;0;0;0;0;100;100;0;100;100;100;100;100;100;100;0;0;100;0;100;0;100;100;0;0;0;100;100;100;100;100;0;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;0;0;100;100;100;0;0;100;0;0;0;0;0;100;100;100;100;100;100;100;100;100;100;100;100;0;100;0;0;100;100;0;100;100;100;100;100;0;100;0;100;100;100;100;0;0;0;0;0;100;100;100;100;0;0;100;100;100;0;0;0;100;100;100;100;0;100;100;100;0;0;100;0;0;100;100;0;0;100;0;100;0;100;0;100;100","295;0;0;0;0"
WF_FD,gemini,NQ2,0.0,-1,-1,-1,259,0,205,"100;0;0;100;0;100;0;0;100;0;100;100;100;100;0;0;100;0;0;100;100;100;0;100;100;100;0;100;100;100;0;100;0;100;100;0;0;100;100;0;100;0;0;0;0;100;100;0;100;100;0;0;0;0;0;0;0;0;100;0;100;0;0;100;0;100;100;0;100;0;0;0;0;0;0;100;100;0;100;100;100;100;0;100;0;100;0;0;0;0;100;0;100;100;100;100;0;100;0;100;0;0;0;100;100;100;0;100;100;0;0;0;0;0;100;100;100;100;0;100;100;0;0;100;0;100;100;0;0;100;100;0;0;100;100;100;0;100;0;100;100;100;0;0;0;100;0;0;0;0;0;100;0;0;100;100;0;0;0;100;0;0;0;0;100;100;0;0;0;0;0;0;100;0;100;0;0;0;100;100;100;100;0;100;0;0;0;0;0;100;0;0;100;100;0;100;0;0;0;100;0;100;100;0;100;0;100;100;0;100;0;0;100;100;100;0;100;100;0;100;0;100;0;0;0;0;0;100;0;100;100;0;100;100;100;0;0;100;0;100;0;0;0;100;0;0;0;0;100;0;100;0;0;100;100;100;100;0;100;100;0;100;0;0;100;0;0;0;0;0;0;100;0;100;100;100;0;100;0;0;100;0;0;100;100;0;100;100;0;100;100;0;0;0;100;100;100;0;100;0;100;0;0;100;0;0;100;100;0;0;0;0;100;0;0;0;0;100;100;0;100;100;0;0;0;0;100;0;0;0;0;0;100;100;100;0;0;100;0;100;100;100;0;0;0;100;0;0;100;0;0;100;0;0;0;0;0;100;100;0;0;0;0;100;0;100;0;0;100;100;100;100;0;0;0;100;100;0;0;100;0;0;100;0;0;100;100;100;0;100;0;0;100;100;100;0;100;0;0;0;0;100;0;0;100;0;100;0;0;0;100;0;100;0;100;100;0;0;0;0;100;0;100;100;100;0;0;0;100;100;100;0;0;0;100;0;0;100;0;0;100;100;0;0;0;0;0;0;0;0;0;100;0;100;0;100;0;0;0","200;0;0;0;0"
WF_SD,gemini,NQ2,0.0,-1,-1,-1,238,0,226,"100;0;0;100;0;100;100;100;0;0;0;100;100;100;0;0;100;100;0;100;100;100;100;100;100;100;0;100;100;100;0;100;0;100;100;0;0;0;100;0;100;0;0;0;0;100;100;0;100;0;0;0;0;0;0;0;0;0;100;0;100;100;0;100;100;0;100;0;100;0;100;0;0;0;0;100;100;100;0;100;100;100;0;100;0;100;0;100;0;0;100;100;100;100;100;0;0;100;0;100;0;0;0;100;100;0;0;100;100;0;100;0;0;0;100;100;0;100;0;100;100;0;0;100;0;100;100;100;100;100;100;100;0;0;100;0;0;100;0;0;100;0;0;0;0;100;0;0;0;0;100;0;0;0;100;100;0;0;0;100;0;0;100;100;0;0;100;100;0;100;0;0;100;0;0;0;0;0;100;100;100;0;0;100;100;0;0;0;0;100;0;0;100;100;0;100;100;0;100;100;100;0;100;0;0;100;0;100;100;100;100;0;100;0;0;100;100;0;100;100;100;0;100;0;0;0;100;0;100;0;100;0;100;100;0;100;100;100;0;0;100;0;0;0;0;0;100;100;100;0;0;100;0;100;0;0;100;0;100;100;0;100;0;100;100;0;0;100;0;0;0;0;0;0;100;0;100;0;100;0;0;0;0;0;0;0;100;100;100;0;0;100;100;100;100;0;100;0;100;0;0;0;0;0;100;100;0;0;100;0;100;0;100;0;100;100;100;100;0;100;0;100;100;0;100;0;0;0;100;100;0;0;0;0;100;100;100;0;100;0;100;100;100;100;100;0;100;0;0;0;0;0;100;100;0;0;0;0;100;0;100;0;0;0;100;100;100;0;0;0;100;100;0;0;100;0;100;100;0;0;100;100;100;100;100;0;0;100;100;100;100;100;0;0;0;0;100;0;0;100;0;100;0;0;0;100;0;100;100;100;0;0;0;0;100;0;100;100;100;0;100;0;100;100;0;0;0;100;0;100;0;0;0;100;100;0;100;0;0;0;100;100;0;0;100;0;100;0;0;0;100;0","214;0;0;0;0"
