case,model,dataset,SR,meanT,maxT,minT,wa,pd,npd,persuasion_counts,correct_num
WF_FD,gpt-3.5-turbo-instruct,Boolq,0.0,-1,-1,-1,182,0,284,0;100;100;0;100;0;100;0;100;100;100;0;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;0;100;0;100;100;100;100;100;100;0;100;0;100;100;100;100;100;0;100;100;100;100;100;0;0;100;0;100;0;0;100;100;100;100;100;0;0;100;100;100;100;100;100;100;100;0;100;100;100;100;0;100;100;100;0;100;0;100;0;0;0;0;100;0;100;0;100;0;0;0;100;100;0;0;0;100;0;0;100;0;0;100;100;0;100;100;0;100;100;100;100;100;0;0;100;100;0;0;0;0;100;0;100;100;0;0;0;100;0;100;100;100;0;0;0;100;0;100;0;100;100;0;100;0;100;100;0;0;0;100;0;0;0;0;0;0;100;0;100;100;100;100;0;100;100;0;100;100;100;100;100;100;100;100;100;100;100;0;100;0;100;100;100;100;0;100;100;0;0;100;100;100;0;100;0;100;0;0;100;100;100;0;0;100;0;100;0;100;0;100;100;100;100;0;0;100;100;100;100;100;0;0;100;100;100;100;0;100;0;100;100;0;0;0;100;0;100;0;0;0;100;0;0;0;100;100;0;0;0;100;100;0;0;100;100;0;100;100;100;100;100;100;0;100;100;100;100;0;100;0;0;100;0;0;100;0;0;100;100;100;100;100;100;100;0;0;0;100;100;0;0;100;100;0;0;100;100;100;100;0;100;100;100;100;100;100;0;100;0;0;100;100;100;100;0;0;0;0;0;0;100;100;100;100;0;0;100;100;100;100;100;0;0;0;0;100;100;0;0;100;100;0;100;100;100;100;100;100;0;0;100;0;0;100;100;100;0;0;0;0;100;100;0;0;0;100;0;100;0;100;100;100;100;100;0;0;0;100;0;100;100;100;100;100;100;100;100;100;100;0;100;100;0;100;0;0;100;0;0;100;100;0;100;100;100;0;100;100;100;100;0;100;100;100;0;100;0;100;100;100;0;100;0;100;100;0;100;100;0;100;100;0;0;0;100;100;100;100;100;100;0;0;100;0;100;0;100;0;100;0;100;100;100;100;100;100;0;100;100,284;0;0;0;0
WF_SD,gpt-3.5-turbo-instruct,Boolq,0.0,-1,-1,-1,197,0,269,100;100;100;0;100;0;100;100;100;100;0;100;100;100;0;0;100;0;0;100;100;0;0;100;0;100;100;100;100;100;0;0;0;0;100;100;100;0;100;0;0;100;100;0;100;0;100;100;100;100;0;100;100;100;100;100;0;0;0;100;100;0;0;0;100;100;0;0;100;0;0;0;100;0;100;0;0;100;100;100;0;0;0;100;100;0;100;0;100;100;100;100;0;0;100;100;100;100;100;100;0;100;0;100;100;0;100;100;0;0;100;100;100;0;100;0;0;100;0;100;100;100;100;0;100;0;0;0;100;0;100;0;0;100;100;0;0;100;0;100;100;0;0;100;100;100;0;0;100;100;100;0;0;0;100;100;0;0;0;100;0;0;0;0;0;100;100;100;0;100;100;0;0;0;100;0;0;100;100;0;0;0;0;100;100;100;100;100;0;0;100;0;0;100;0;0;100;100;100;100;100;100;0;100;0;100;100;100;0;100;100;100;100;0;0;100;0;0;100;100;0;0;100;0;0;100;0;100;0;0;0;100;0;0;0;100;0;100;0;100;0;100;100;0;0;100;100;0;0;0;0;0;100;100;0;100;100;100;0;100;100;0;100;0;100;0;0;100;0;0;100;0;100;100;100;100;0;100;0;100;100;0;0;100;100;100;0;0;100;0;0;100;0;100;100;100;100;100;100;0;100;100;100;0;100;0;0;100;100;0;0;100;0;100;100;100;100;0;0;100;100;0;100;100;100;100;100;100;0;0;100;0;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;0;100;100;100;100;100;0;100;100;100;100;100;0;100;100;100;100;100;100;100;100;0;100;0;0;100;0;0;0;0;100;0;0;0;0;100;0;0;100;0;100;100;0;0;100;100;100;100;0;0;100;0;0;0;100;0;100;100;0;100;100;100;100;100;0;100;100;0;100;100;100;100;0;100;100;0;100;100;0;100;100;0;100;100;100;100;0;100;0;0;100;0;100;0;0;100;0;100;100;100;100;0;100;100;100;100;0;0;100;100;0;0;0;100;100;100,269;0;0;0;0
CF_FD,gpt-3.5-turbo-instruct,Boolq,0.0,-1,-1,-1,214,0,252,0;100;100;100;0;0;0;0;0;100;100;0;100;0;0;0;0;100;0;100;100;100;100;0;100;100;0;0;100;100;100;100;0;0;0;100;100;0;0;100;100;100;0;100;0;100;0;100;0;100;100;100;100;100;100;0;100;100;0;100;0;0;100;100;100;100;100;100;0;100;100;100;0;0;0;100;100;0;100;0;100;0;100;0;0;100;0;0;100;100;100;0;100;100;0;100;0;0;0;100;0;100;100;100;100;0;100;100;100;100;0;100;100;0;0;100;100;100;100;100;100;100;0;100;100;100;100;0;0;0;100;100;0;100;100;0;100;0;0;0;100;0;100;100;100;100;100;100;100;0;100;0;100;100;0;100;100;0;0;100;0;0;0;0;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;0;0;100;100;0;100;100;0;0;0;100;0;0;0;0;100;0;0;0;100;0;0;100;0;100;100;100;0;100;100;0;100;100;100;0;0;0;0;100;100;100;0;100;100;0;0;100;100;100;0;100;0;0;100;0;100;100;100;100;100;0;100;0;100;0;0;0;0;100;0;0;100;100;0;100;0;100;100;100;100;0;0;100;0;100;100;0;100;100;100;0;100;0;100;100;100;100;0;0;0;0;100;0;0;100;100;100;0;100;0;100;0;100;100;0;100;100;100;100;100;100;0;0;0;0;100;100;100;100;100;0;100;100;100;0;0;0;0;0;100;100;100;100;0;100;0;100;0;0;100;0;0;0;100;0;0;0;100;100;100;100;0;0;100;100;0;0;100;100;0;0;100;100;100;0;100;0;100;100;100;100;100;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;100;100;100;0;100;0;0;0;0;100;0;100;0;100;0;0;100;0;100;100;0;100;100;0;0;100;100;0;0;0;0;100;100;0;100;100;0;100;100;100;0;0;100;100;0;0;100;100;0;0;0;100;100;100;0;100;0;100;0;100;100;100;0;100;100;0;100;0;0;0;100;0;100;0;0;0;100;0;0;100;0;100;0;0;0,252;0;0;0;0
CF_SD,gpt-3.5-turbo-instruct,Boolq,0.0,-1,-1,-1,194,0,272,100;0;0;100;0;0;100;100;100;100;100;0;100;100;0;0;100;100;100;100;100;100;0;0;100;100;100;100;0;100;100;100;0;100;0;100;0;100;100;100;100;100;0;0;100;100;100;100;100;0;100;100;0;100;100;0;100;0;100;0;0;100;0;100;100;100;0;100;0;100;0;100;100;100;100;100;0;100;0;0;100;100;0;100;100;0;100;0;100;100;100;100;100;100;100;100;100;100;100;0;100;0;0;100;100;100;0;100;0;0;100;100;100;100;100;100;100;100;100;0;0;0;0;0;100;0;0;0;100;100;100;0;0;100;100;100;100;100;100;100;100;100;0;100;100;100;0;100;100;100;0;0;100;0;0;100;100;0;0;0;0;100;100;0;100;0;0;0;0;0;0;100;0;100;100;0;100;0;100;0;100;100;0;0;0;100;100;100;0;100;100;100;0;0;100;0;100;0;100;100;0;100;100;0;0;100;100;0;100;0;100;100;100;0;100;100;100;0;100;0;100;100;100;0;100;100;100;100;100;0;0;100;0;0;100;0;100;100;0;100;100;100;100;0;0;100;0;0;0;0;100;0;100;0;0;100;0;0;0;100;0;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;0;0;100;100;0;0;100;0;100;100;100;0;0;0;100;0;100;100;100;100;0;100;100;0;0;0;0;0;0;100;0;100;100;100;100;100;100;0;0;100;100;100;100;100;100;0;100;100;100;100;0;100;0;0;100;100;0;100;100;0;0;100;100;100;100;100;0;100;0;100;0;100;0;0;0;100;100;100;100;0;0;0;100;0;0;100;100;0;100;100;0;0;100;0;100;0;100;0;100;100;0;100;0;0;100;0;0;100;100;100;0;100;0;0;100;100;0;100;0;0;0;0;0;0;0;100;0;0;100;0;0;100;0;0;100;100;0;100;100;0;100;0;100;0;100;0;0;100;0;100;100;0;0;100;100;0;0;0;0;100;100;100;0;100;0;100;100;0;0;100;0;100;100;100;100;100;0;100;100;0;0;100;0;100;100;100;100;0;100;0,272;0;0;0;0
WF_FD,gpt-3.5-turbo-instruct,NQ1,0.0,-1,-1,-1,426,0,37,100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;100;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;100;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;100;0;0;0;0;0;100;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;100;0;0;0;100;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;100;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;100;0;100;0;0;0;100;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,37;0;0;0;0
WF_FD,gpt-3.5-turbo-instruct,NQ2,0.0,-1,-1,-1,431,0,33,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;100;100;0;0;0;0;0;0;100;0;0;0;0;100;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;100;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;100;0;0;100;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,33;0;0;0;0
WF_FD,gpt-3.5-turbo-instruct,TruthfulQA,0.0,-1,-1,-1,276,0,183,0;100;0;100;100;0;0;0;0;100;0;100;100;0;0;100;100;0;0;100;100;100;100;0;100;0;100;0;0;100;0;0;0;0;100;0;0;0;100;0;0;0;0;100;100;0;100;0;0;0;0;0;100;0;0;0;0;0;100;100;0;0;0;0;100;100;0;100;0;0;100;100;0;100;0;100;100;0;100;0;100;100;100;0;0;0;100;100;100;0;0;0;0;0;0;100;100;0;100;0;0;0;0;100;0;100;0;0;0;0;0;0;100;100;0;0;0;100;0;100;0;0;0;0;0;100;0;0;100;100;0;0;0;100;0;100;100;0;100;0;100;100;0;100;100;100;100;100;0;0;100;100;100;100;100;100;100;0;100;0;0;0;0;100;0;0;0;100;0;0;0;100;0;100;100;100;0;0;0;100;0;100;0;0;0;0;0;0;0;100;100;0;0;100;100;0;100;0;0;100;0;100;0;100;0;0;0;0;100;0;0;100;0;100;0;0;100;0;0;0;0;100;100;100;0;0;100;100;100;0;0;100;0;0;0;100;0;0;0;0;100;0;0;0;100;0;0;0;0;100;100;100;100;100;100;100;0;0;0;0;0;100;100;0;0;100;0;0;100;100;100;0;100;0;100;0;0;0;0;0;0;100;0;0;100;100;100;100;0;0;100;0;0;0;0;100;100;100;0;100;100;0;0;100;100;0;0;100;0;0;100;100;100;0;100;100;100;0;0;0;0;0;100;0;100;100;0;100;0;100;0;100;0;0;100;0;100;0;0;0;0;100;0;0;100;100;100;0;100;0;0;0;0;100;0;100;0;0;100;0;0;100;0;0;0;0;100;0;0;100;0;0;0;0;100;100;100;100;0;0;100;100;0;0;100;0;0;0;100;0;0;100;0;0;0;0;0;100;0;100;0;0;100;100;0;0;0;100;0;0;0;100;100;100;100;0;0;0;0;0;100;0;100;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;100;100;100;100;0;0;0;100;0;0;0;0;100;0;100,183;0;0;0;0
WF_SD,gpt-3.5-turbo-instruct,NQ1,0.0,-1,-1,-1,431,0,32,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;100;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;100;0;0;100;0;100;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0,32;0;0;0;0
WF_SD,gpt-3.5-turbo-instruct,NQ2,0.0,-1,-1,-1,424,0,40,0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;100;0;100;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;100;0;0;0;100;0;0;0;0;100;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;100;100;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0,40;0;0;0;0
WF_SD,gpt-3.5-turbo-instruct,TruthfulQA,0.0,-1,-1,-1,298,0,161,100;100;0;0;100;0;0;100;0;0;0;100;100;0;0;100;100;0;0;100;0;100;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;0;100;0;0;0;0;100;100;0;0;0;0;0;0;0;100;0;100;0;100;0;100;100;0;100;0;0;100;0;0;0;0;0;0;100;0;100;0;0;100;0;0;0;100;100;100;0;0;0;0;100;100;0;100;100;0;100;0;100;0;0;100;100;0;0;0;100;0;0;0;0;100;0;0;0;0;100;100;0;0;100;0;0;100;100;0;0;0;0;0;0;0;100;0;0;0;0;0;100;0;0;0;0;100;0;100;100;100;0;100;0;0;0;100;0;0;100;0;100;100;100;100;0;0;100;0;100;0;100;0;100;0;0;100;100;0;0;0;0;0;0;0;100;0;100;0;0;0;0;100;100;0;100;0;0;0;0;0;0;100;0;0;100;0;0;0;100;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100;100;100;0;0;100;0;0;0;0;0;100;0;0;0;100;0;100;0;0;100;0;0;100;0;100;0;0;100;0;100;100;0;100;100;0;0;0;0;0;0;0;100;0;100;0;0;0;100;100;100;100;0;100;0;0;100;0;0;0;100;0;100;0;100;100;100;0;0;100;0;100;0;0;0;100;100;0;0;100;0;0;0;100;0;0;100;0;0;100;0;100;0;100;100;0;0;0;100;0;100;100;100;100;0;100;100;0;100;0;100;0;0;100;0;100;0;100;0;0;100;0;0;0;100;100;0;100;100;0;0;0;100;0;100;0;0;0;0;100;100;0;0;100;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;100;0;0;100;0;0;0;0;100;100;0;100;0;0;0;0;0;0;0;100;0;0;0;100;0;100;100;0;0;0;0;0;100;100;100;0;0;0;0;100;100;100;100;100;0;0;0;0;0;0;0;100;100;100;0;0;100;0;100;0;0;100;0;0;0;100;0;0;100;0;100,161;0;0;0;0
