case,model,dataset,SR,meanT,maxT,minT,wa,pd,npd,persuasion_counts,correct_num
WF_FD,gpt-4-0613,Boolq,0.0,-1,-1,-1,79,0,387,100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;0;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;0;0;100;0;100;0;100;100;100;100;100;100;100;0;100;100;100;100;100;100;0;100;100;100;100;0;100;0;100;100;100;100;100;100;100;0;100;100;0;0;100;100;100;100;0;100;100;100;100;100;100;100;100;100;0;0;100;0;100;100;100;100;100;0;100;100;100;100;100;0;100;100;100;100;100;100;100;100;0;100;100;100;100;0;100;100;100;0;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;0;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;0;100;100;100;100;0;100;100;100;100;100;100;0;100;100;0;100;0;0;100;0;100;100;100;100;100;100;100;0;0;100;0;0;100;0;100;0;100;100;100;0;100;0;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;0;0;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;0;100;100;0;0;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;0;100;100;100;100;100;100;100;0;0;0;100;100;100;100;100;100;0;100;100;100;0;100;100;100;100;0;100;100;100;100;100;100;0;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;0;0;100;0;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;0;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;0;0;100;100;100;100;0;100;100;0;100;100;100;100;100;0;0;100,387;0;0;0;0
WF_FD,gpt-4-0613,NQ2,0.0,-1,-1,-1,98,0,366,100;100;0;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;0;0;100;100;100;100;100;100;100;100;100;100;0;0;100;100;100;100;0;100;100;100;100;100;0;0;100;0;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;0;100;0;0;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;0;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;0;100;0;100;100;100;100;100;100;100;100;0;100;0;0;100;100;100;100;100;0;100;100;100;100;100;100;100;100;0;100;100;0;0;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;0;100;0;100;0;100;0;100;100;100;100;0;100;100;100;0;100;0;100;100;100;0;0;100;100;100;100;100;100;0;100;0;100;0;0;100;100;100;100;0;100;100;100;100;0;100;100;100;100;0;100;100;0;100;100;100;0;100;0;100;0;0;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;0;100;0;100;100;100;0;100;100;100;100;0;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;0;100;100;100;100;0;0;100;100;100;100;100;100;0;100;100;100;100;0;0;100;100;100;0;100;100;100;100;100;100;100;0;100;100;100;100;0;100;100;0;100;0;0;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;0;100;100;100;100;100;100;100;0;100;100;100;0;100;0;100;100;100;0;0;0;100;100;100;100;100;0;100;100;100;100;100;0;0;100;100;0;100;100;0;0;100;100;100;0;100;0;0;100;100;0;100;100;0;100;100;100;100;100;100,366;0;0;0;0
WF_FD,gpt-4-0613,NQ1,0.0,-1,-1,-1,110,0,353,100;100;100;100;0;100;0;100;0;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;0;100;0;0;100;100;100;100;100;100;100;100;0;100;100;100;100;0;100;100;100;100;100;0;100;100;0;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;0;0;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;0;100;100;100;100;0;100;100;100;0;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;0;0;100;100;100;0;100;100;100;100;100;0;0;0;100;0;0;0;100;0;100;0;0;100;100;0;100;0;100;0;100;0;100;0;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;0;0;100;100;100;100;100;0;100;100;100;100;100;0;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;0;0;100;100;100;100;100;100;0;100;0;0;100;100;100;100;100;100;100;100;100;100;0;0;100;0;100;100;100;100;0;100;0;100;0;0;100;100;100;100;100;0;100;0;100;100;0;0;100;100;100;100;0;100;0;0;100;100;100;100;100;0;0;100;100;100;100;0;100;100;0;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;0;0;100;100;100;100;0;0;100;100;100;100;100;100;100;0;100;100;100;100;100;100;0;0;100;100;0;100;0;0;100;100;0;100;100;100;0;0;100;100;100;100;100;0;100;0;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;0;0;0;100;0;100;100;100;0;100;0;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;0;100;100;100;0;0;0;100;100;100;0;0;0;0;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;0;100;100;100;100;0;0;0;100;100;100;100;100;100;0;100;100;100;100;100;0,353;0;0;0;0
WF_SD,gpt-4-0613,Boolq,0.0,-1,-1,-1,48,0,418,100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;0;100;100;0;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;0;0;100;100;100;100;0;100;0;100;100;100;100;100;100;0;100;100;100;100;100;100;100;0;100;0;0;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;0;0;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;0;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;0;100;100;100;0;100;100;100;100;100;100;0;0;100;100;100;0;100;100;100;100;100;0;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;0;100;100;100;100;100;0;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;0;100;100;100;100;100;0;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100,418;0;0;0;0
WF_FD,gpt-4-0613,TruthfulQA,0.0,-1,-1,-1,77,0,382,100;100;100;100;0;100;100;100;0;100;100;100;100;100;100;100;100;100;0;100;100;0;100;100;100;100;100;100;100;100;0;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;0;100;100;100;0;100;0;0;100;100;100;100;100;0;0;100;0;100;100;100;100;100;0;0;100;100;100;100;100;100;100;0;0;100;100;100;100;100;100;0;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;0;0;100;100;100;100;100;100;100;100;100;0;100;100;100;0;100;100;0;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;0;0;100;100;100;0;100;0;100;100;100;100;100;100;100;100;100;0;100;100;100;0;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;0;100;100;100;100;100;100;100;100;0;0;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;0;100;100;100;100;100;100;100;100;0;100;100;100;0;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;0;100;0;100;100;0;100;100;100;100;0;0;100;100;0;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;0;0;100;0;100;100;0;100;100;100;100;100;100;100;100;100;100;0;100;100;0;0;100;100;0;100;100;100;100;100;100;0;100;100;100;100;0;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;0;0;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;0;100;0;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;0;100;100;100;100;100;100;100;100;0;100;100;100;0;100;100;100;100;100;100,382;0;0;0;0
CF_FD,gpt-4-0613,Boolq,0.0,-1,-1,-1,44,0,422,100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;0;0;100;100;100;0;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;0;100;100;0;100;0;100;0;100;100;100;100;100;0;100;100;0;0;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;0;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;0;100;100;100;100;100;100;100;0;100;100;100;0;100;100;100;100;100;0;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;0;100;0;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;0;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100,422;0;0;0;0
WF_SD,gpt-4-0613,NQ2,0.0,-1,-1,-1,89,0,375,100;100;0;100;100;100;100;100;100;100;0;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;0;100;0;100;100;100;100;100;100;100;0;0;0;100;100;100;100;0;100;100;100;100;100;0;0;100;0;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;0;100;0;100;100;100;100;0;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;0;100;100;100;100;0;0;100;0;100;0;100;100;0;100;100;100;100;100;100;0;100;100;100;0;100;100;100;0;100;0;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;0;100;100;100;100;100;0;100;100;0;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;0;100;100;100;0;100;100;100;100;100;100;100;0;100;0;100;0;0;100;100;100;100;0;100;100;100;100;100;100;100;100;100;0;100;100;0;100;100;100;100;100;0;100;0;0;100;0;100;100;100;0;100;100;100;100;100;0;100;100;100;100;100;100;100;100;0;100;0;0;100;100;100;100;100;0;0;100;100;100;0;100;100;100;100;100;100;100;100;100;100;0;100;100;0;100;0;100;0;100;100;100;100;0;100;100;100;100;100;100;100;0;100;100;100;100;0;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;0;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;0;100;0;100;100;100;100;100;100;100;100;0;100;0;100;100;100;0;0;0;100;100;100;100;100;0;0;100;100;100;100;100;0;100;0;0;100;100;0;100;100;100;100;100;100;0;0;100;100;0;100;100;0;100;100;100;100;100;100,375;0;0;0;0
WF_SD,gpt-4-0613,NQ1,0.0,-1,-1,-1,99,0,364,100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;0;0;100;100;100;100;100;100;100;0;0;100;100;100;100;0;100;100;100;100;100;0;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;0;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;0;100;100;100;100;100;100;0;100;0;100;0;100;0;100;100;100;100;100;0;100;100;100;0;100;100;100;100;100;0;0;0;100;100;100;100;100;100;100;100;0;100;0;0;100;100;100;100;0;0;100;0;100;100;100;0;100;100;0;100;100;100;0;100;0;100;100;100;0;100;100;100;100;100;100;0;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;0;100;100;100;0;0;100;100;100;100;100;100;0;100;0;100;0;0;100;100;100;100;100;0;100;100;100;100;0;100;100;100;100;0;0;100;100;100;100;100;100;100;100;0;0;100;0;100;100;100;100;100;0;100;100;100;100;100;0;100;100;100;100;0;100;100;100;0;100;100;0;100;0;100;100;100;0;100;0;100;100;100;0;100;0;100;100;100;100;100;0;0;0;100;100;0;100;100;0;100;100;100;100;100;0;100;100;100;100;100;100;100;0;100;0;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;0;100;100;0;100;0;100;0;0;100;100;100;100;100;100;0;100;100;100;0;100;100;100;100;100;100;100;100;100;100;0;100;0;100;0;100;100;100;0;100;100;100;0;100;0;100;0;100;0;100;100;100;0;100;0;100;100;100;100;0;100;100;100;100;100;100;100;100;0;0;100;0;0;100;100;100;100;0;100;0;0;100;100;100;100;100;0;100;100;100;100;100;100,364;0;0;0;0
CF_SD,gpt-4-0613,Boolq,0.0,-1,-1,-1,35,0,431,100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;0;0;100;100;100;100;0;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;0;100;100;100;100;100;0;100;100;100;100;100;100;100;0;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;0;100;0;100;100;0;100;100;100;0;100;100;100;0;100;100;0;0;100;100;100;0;100;100;100;100;100;0;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;0;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100,431;0;0;0;0
CF_SD,gpt-4-0613,NQ2,0.0,-1,-1,-1,58,0,406,100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;0;0;100;100;100;100;0;100;100;100;100;100;0;0;100;0;0;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;0;100;0;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;0;100;0;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;0;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;0;100;0;100;0;0;100;100;100;100;0;100;100;100;100;100;100;100;100;100;0;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;0;100;100;0;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;0;100;100;0;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;0;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;0;100;0;100;100;100;100;0;0;100;100;100;100;100;0;100;100;100;100;100;100;100;100;0;0;100;100;0;100;100;100;100;0;100;0;0;100;100;100;100;100;0;100;100;100;100;100;100,406;0;0;0;0
