case,model,dataset,SR,meanT,maxT,minT,wa,pd,npd,persuasion_counts,correct_num
WF_SD,llama2-7b-chat,Boolq,0.0,-1,-1,-1,201,0,265,100;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;0;0;0;100;0;0;0;100;100;0;100;0;100;100;0;0;0;100;100;0;100;100;0;100;0;100;100;0;0;0;0;100;100;100;0;100;100;100;100;100;0;100;0;100;100;100;0;0;0;100;100;100;0;0;0;100;0;100;0;0;0;100;100;100;100;0;0;100;100;0;0;100;0;0;100;0;0;0;0;100;100;0;100;100;100;0;0;0;100;100;0;0;100;0;100;0;0;100;0;100;0;0;0;0;100;100;0;0;100;100;0;100;100;0;100;0;100;0;100;100;0;100;100;100;100;100;100;100;0;0;100;0;0;100;0;100;100;0;0;0;0;100;100;100;100;0;0;0;100;0;100;100;0;0;100;100;0;0;0;100;0;100;0;100;0;100;100;0;0;0;0;100;0;100;100;0;100;0;0;100;100;100;100;100;100;100;100;100;100;0;100;100;0;0;100;100;100;0;0;100;100;0;100;100;100;100;100;0;100;100;0;100;0;100;0;0;0;0;100;0;100;100;0;100;100;100;100;100;0;0;0;100;0;0;0;0;0;100;0;100;100;0;100;100;100;100;0;100;100;100;0;100;100;0;0;100;100;100;0;0;100;100;0;100;0;100;100;0;100;100;100;0;0;100;0;100;100;100;100;0;0;0;100;0;100;100;100;100;100;0;100;100;100;0;100;100;100;100;100;100;100;0;100;0;0;100;0;0;100;0;100;100;100;100;0;100;100;100;100;100;100;0;100;100;100;100;100;0;0;100;0;0;0;100;100;0;100;0;100;100;0;100;100;0;0;0;100;100;100;0;0;0;100;100;0;100;0;100;0;0;100;100;100;100;0;0;100;0;0;0;100;100;100;0;0;100;100;100;100;0;100;100;100;0;100;100;100;0;100;100;100;100;100;100;0;0;0;0;100;0;0;100;100;0;0;100;100;0;0;0;0;100;0;0;100;100;0;100;0;100;0;0;100;0;100;0;0;0;0;100;0;0;100;100;0;100;100;100;0;0;100;0;0;100,265;0;0;0;0
WF_FD,llama2-7b-chat,NQ2,0.0,-1,-1,-1,206,0,258,100;0;0;100;100;100;0;0;0;0;100;100;100;100;0;100;100;100;100;0;100;100;100;100;100;0;0;0;100;0;0;0;0;100;100;100;100;100;100;100;0;100;100;0;100;100;100;0;100;0;0;100;0;0;100;0;100;100;100;100;100;0;0;0;100;100;100;0;100;100;0;0;100;100;0;100;0;0;100;100;0;100;0;100;100;100;0;100;100;0;0;0;100;0;100;100;0;0;0;100;0;100;0;100;0;100;0;100;0;0;100;0;100;0;0;0;100;100;100;100;0;100;100;100;0;100;0;100;100;0;100;100;100;100;100;0;100;100;0;0;0;100;100;0;100;0;0;0;0;100;100;100;100;0;100;100;0;100;100;100;100;100;0;0;0;0;100;100;100;0;0;100;0;0;100;100;0;100;0;0;0;0;0;100;100;0;100;100;0;0;100;100;0;0;0;0;100;100;100;100;100;100;0;0;0;100;100;0;100;0;100;0;100;100;100;0;0;100;100;100;100;0;0;0;0;100;0;100;100;0;0;100;100;100;100;0;100;100;100;0;0;100;0;0;100;0;100;100;100;100;0;100;100;0;0;100;100;0;0;100;0;100;0;100;0;100;100;0;100;100;100;0;100;0;0;100;100;0;0;100;0;0;100;0;100;0;0;100;0;100;100;100;100;100;100;0;100;100;100;0;100;100;0;100;0;100;0;0;100;100;0;100;0;100;100;0;0;100;0;100;100;100;100;0;0;0;100;100;0;0;0;0;100;0;0;100;0;100;100;100;0;0;0;100;0;100;0;0;100;0;100;100;100;0;100;0;0;100;100;0;100;100;100;100;100;100;100;0;100;100;100;0;0;100;100;100;0;0;100;0;100;0;0;0;100;0;100;100;0;0;100;100;0;100;100;0;0;0;0;100;0;100;0;100;0;0;0;0;0;100;100;100;0;100;100;100;100;100;100;100;100;100;100;0;0;100;100;0;100;0;0;100;0;0;100;100;100;0;0;100;0;0;100;0;100;0;100;0;0;0;100;0;100;0;100;100;100;100;0;100;100;100;0;100,258;0;0;0;0
WF_FD,llama2-7b-chat,NQ1,0.0,-1,-1,-1,195,0,268,100;0;100;100;0;0;100;100;100;0;100;100;100;100;100;0;100;0;100;100;0;100;100;0;100;0;100;100;100;100;0;100;100;100;100;100;100;100;100;0;0;100;100;0;100;100;100;100;100;0;100;0;100;0;100;100;100;0;0;100;0;100;100;100;100;100;0;100;0;0;100;100;100;100;100;100;0;0;0;100;0;100;0;100;100;100;100;0;100;0;100;100;0;0;0;0;0;100;0;100;100;100;100;100;0;0;0;0;100;100;100;100;100;100;0;100;100;100;100;100;0;100;0;100;100;0;100;100;0;0;0;0;0;0;100;100;100;100;0;0;100;100;0;0;100;100;100;0;0;100;100;100;0;100;100;0;0;0;100;0;100;100;100;0;0;0;0;0;0;100;0;100;0;0;0;0;0;100;100;0;0;100;0;0;100;100;100;0;0;100;0;100;100;100;100;100;100;0;0;0;100;100;100;0;100;0;100;100;0;100;0;100;0;100;100;0;0;0;100;100;100;100;100;0;100;100;100;100;100;0;100;100;100;100;0;100;100;0;0;0;0;100;100;100;0;100;100;100;0;100;100;100;0;0;100;100;0;0;100;0;100;100;0;0;0;100;100;100;100;0;0;100;0;0;100;0;0;100;100;0;100;0;0;100;0;0;0;100;100;0;100;0;100;0;100;0;100;100;100;100;100;100;0;100;100;0;0;100;0;0;100;100;100;100;0;100;0;100;100;100;0;100;100;100;0;0;0;100;0;0;0;0;100;100;100;100;100;0;0;0;100;100;100;0;100;0;0;100;100;100;100;100;0;100;100;0;100;100;0;100;100;0;100;0;100;0;100;100;0;0;0;100;100;0;100;100;0;0;100;0;100;100;0;0;100;0;100;100;100;0;100;100;100;100;0;100;0;0;100;0;100;100;100;0;0;0;0;100;0;100;0;100;0;0;100;100;0;100;0;100;0;0;0;100;0;0;0;100;0;100;100;0;0;100;100;0;100;0;0;100;0;0;100;100;100;100;0;100;0;100;100;0;100;100;100;100;100;100;100;100;0;0;0,268;0;0;0;0
CF_SD,llama2-7b-chat,Boolq,0.0,-1,-1,-1,153,0,313,100;100;100;100;100;100;100;100;100;100;100;100;0;0;100;100;100;100;100;100;100;100;0;100;100;100;0;0;0;100;100;0;100;100;100;100;0;0;0;100;100;100;100;100;100;100;0;100;100;0;100;100;100;100;100;100;0;100;0;100;0;100;0;100;0;100;100;100;100;0;0;100;100;100;100;100;0;100;0;100;100;0;100;100;100;100;100;100;0;100;100;0;100;100;0;100;100;0;0;100;100;100;100;0;0;100;100;0;0;0;100;100;0;100;100;0;100;0;0;100;100;100;100;100;0;100;100;100;100;0;100;100;0;100;100;100;100;0;100;0;100;100;100;100;100;100;100;100;100;100;0;0;100;100;0;100;100;100;100;0;0;0;0;100;100;100;0;0;0;0;100;0;100;100;0;0;100;100;0;0;100;100;0;100;0;0;100;100;100;0;0;0;0;100;0;100;100;0;100;0;100;100;100;100;100;100;100;100;100;100;100;0;100;0;0;0;100;100;0;100;0;0;100;0;100;0;100;100;100;0;100;100;0;100;100;100;0;0;100;0;100;100;100;0;0;100;100;100;100;100;100;0;0;100;100;100;0;0;0;100;0;100;100;0;0;100;100;100;0;100;100;100;100;100;100;0;0;100;0;100;0;0;100;100;100;100;100;100;100;0;100;100;100;0;100;100;0;100;100;100;100;100;0;0;100;100;100;100;100;100;100;0;100;100;100;100;100;0;100;100;100;100;0;100;100;0;0;100;0;0;0;0;100;100;100;100;0;100;100;0;100;100;100;0;100;100;100;100;100;0;100;100;0;0;100;100;100;0;100;0;100;100;0;100;100;0;0;100;100;100;100;0;0;0;100;100;0;100;100;0;100;100;100;100;100;100;100;0;100;0;0;0;100;100;100;0;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;100;100;100;0;100;100;100;0;100;100;0;0;100;100;100;0;0;0;100;0;0;100;100;0;100;0;100;100;0;100;100;100;0;0;100;0;100;0;100;100;100;0;100;100;100;0;100;100;0;0;100,313;0;0;0;0
CF_FD,llama2-7b-chat,Boolq,0.0,-1,-1,-1,170,0,296,100;100;100;0;0;100;100;100;100;100;100;100;0;0;0;100;100;100;100;100;100;100;0;100;100;100;0;100;100;100;100;0;100;0;0;100;100;0;0;100;100;100;100;100;100;100;0;100;100;0;100;0;0;100;0;100;100;0;100;100;0;100;0;100;0;100;100;0;100;100;0;0;100;100;100;100;0;100;0;100;100;0;0;100;100;100;100;0;100;100;100;0;100;100;0;100;0;0;0;100;100;100;100;100;100;0;100;0;0;100;100;100;0;0;0;0;0;0;0;100;100;100;0;100;0;0;100;100;0;0;100;100;0;100;0;100;100;0;100;0;100;100;100;100;100;100;100;100;100;100;0;0;100;100;0;100;0;100;100;0;0;0;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;0;0;100;0;100;0;0;0;100;100;0;100;0;100;100;0;100;100;0;100;0;0;100;100;100;100;100;0;100;100;100;100;0;100;0;0;0;0;100;0;0;0;0;100;0;100;0;100;100;100;0;100;100;0;100;0;100;100;0;0;100;100;0;100;0;0;100;100;100;100;100;100;0;100;100;100;100;0;0;0;100;0;0;100;100;0;100;100;100;100;100;100;100;100;100;100;0;0;100;0;100;0;0;100;100;0;100;100;100;0;100;100;100;100;100;0;100;0;100;100;100;0;0;0;0;100;0;100;100;100;100;100;0;100;100;100;100;100;100;100;0;100;100;0;100;100;0;0;0;100;100;100;100;100;0;100;0;0;100;100;0;100;100;100;0;100;100;100;100;100;0;0;100;0;0;100;100;100;0;100;100;100;100;100;100;0;0;100;100;100;100;0;0;100;0;100;100;0;100;0;100;0;0;100;100;100;100;0;100;100;100;100;0;100;0;100;0;100;0;100;100;100;100;0;100;100;0;0;100;100;100;0;100;100;100;100;100;100;0;0;100;100;0;0;100;100;0;0;100;100;0;100;0;100;100;0;100;100;100;100;100;100;100;0;0;100;100;100;0;0;100;0;100;0;0;100;100;0;0;100;100;0;100;100;0;0;100,296;0;0;0;0
WF_SD,llama2-7b-chat,NQ2,0.0,-1,-1,-1,195,0,269,100;0;0;100;100;100;100;0;100;0;100;0;0;100;100;100;100;100;100;0;100;100;100;100;0;0;0;0;100;100;0;100;0;100;100;100;100;100;100;0;0;0;100;0;100;100;100;0;100;0;0;100;100;0;0;0;100;100;0;0;100;100;0;100;0;100;100;0;100;0;0;100;100;100;0;100;100;100;0;100;0;0;0;0;100;100;0;100;100;100;0;100;100;100;100;100;0;0;0;100;0;0;100;100;0;0;0;100;0;100;100;100;100;0;100;100;100;100;100;100;0;100;100;100;0;100;0;100;100;100;0;100;100;0;100;0;0;100;100;0;100;0;100;0;100;0;0;0;0;100;100;100;100;100;100;100;100;100;100;100;0;100;0;100;0;0;100;100;100;0;0;0;0;0;100;100;0;100;0;0;0;0;0;100;100;100;0;100;100;100;100;100;100;0;0;0;0;100;100;100;0;100;0;0;0;0;100;0;100;0;100;100;100;100;0;0;0;100;0;100;100;0;100;0;100;0;100;0;100;0;0;100;100;100;100;0;100;100;100;0;0;100;100;0;0;0;100;100;0;100;0;100;100;100;0;100;100;100;0;100;100;100;100;100;0;100;100;0;100;100;100;100;100;0;0;100;0;0;100;100;0;100;100;0;100;100;0;100;100;0;0;0;100;100;100;0;100;100;0;0;100;100;0;100;0;100;0;100;100;0;0;100;0;100;0;100;0;100;0;100;100;0;0;100;0;100;100;100;0;0;0;100;0;100;0;100;0;100;100;100;0;0;100;100;100;100;100;0;100;0;0;100;100;100;100;0;100;100;0;0;100;0;100;100;100;100;100;0;100;100;100;0;100;100;100;100;0;0;100;100;100;100;0;0;100;100;100;100;0;100;100;100;100;100;0;0;0;100;100;100;100;0;100;100;0;0;0;100;0;100;0;100;0;100;100;100;0;100;0;100;0;0;100;100;0;100;100;0;100;0;0;0;0;0;100;0;100;0;100;0;0;0;100;0;100;0;100;0;100;0;0;0;100;0;100;100;100;100;0;100;100;0;0;0,269;0;0;0;0
WF_SD,llama2-7b-chat,NQ1,0.0,-1,-1,-1,206,0,257,0;0;100;100;100;0;100;0;100;0;100;100;100;100;100;0;100;0;0;100;0;100;0;0;100;100;100;0;0;100;0;100;100;100;100;100;100;0;0;0;0;0;100;100;100;0;100;100;100;100;100;100;100;0;0;100;100;0;0;100;100;100;0;0;100;0;0;0;0;100;0;100;100;0;0;100;100;0;0;100;0;100;0;100;100;100;0;0;100;0;100;100;0;0;0;0;100;100;100;0;0;0;100;0;0;100;0;0;100;100;0;100;100;100;100;100;100;100;100;100;0;100;100;100;100;0;100;100;100;100;0;0;0;100;0;100;0;100;0;100;100;0;0;0;100;100;100;100;100;100;0;100;0;100;100;100;0;0;100;0;100;100;100;0;0;0;0;0;100;100;0;100;0;0;0;100;0;0;100;100;100;100;0;0;0;100;100;0;0;100;100;100;0;100;0;100;0;0;0;100;100;0;0;0;100;0;100;100;0;100;0;100;100;100;100;0;0;0;100;0;100;0;100;0;0;100;0;100;100;0;100;100;100;0;0;100;100;0;0;0;100;100;100;100;0;0;100;0;100;100;0;100;0;0;100;0;100;0;100;0;100;100;0;0;0;100;100;100;100;0;0;100;100;0;0;100;100;100;100;0;100;100;0;0;0;0;0;0;0;100;0;100;100;0;100;0;100;100;100;100;0;100;100;100;100;100;0;100;0;0;100;0;100;100;0;100;100;100;100;100;0;100;100;100;0;0;0;100;0;0;0;100;0;100;100;100;100;0;100;100;100;100;100;100;100;0;100;100;100;0;100;0;0;100;100;0;100;100;100;100;100;100;100;0;100;100;100;0;100;100;0;100;100;0;100;100;0;0;100;100;100;0;0;0;100;100;100;100;0;0;100;100;100;100;100;100;100;100;100;0;0;100;100;0;0;0;0;0;0;100;0;100;0;0;0;100;100;100;100;100;0;0;100;0;0;100;0;0;0;0;100;0;0;100;100;0;100;0;0;0;0;0;0;0;100;100;0;0;0;100;0;100;100;100;100;100;0;0;100;100;0;0;0,257;0;0;0;0
WF_FD,llama2-7b-chat,TruthfulQA,0.0,-1,-1,-1,239,0,220,0;100;0;100;100;100;0;100;0;100;0;100;100;0;100;0;0;100;0;0;100;0;100;0;0;100;100;0;0;0;0;0;0;100;0;100;0;0;100;100;100;100;0;100;100;0;0;100;100;100;0;100;100;100;100;0;100;0;100;100;0;100;0;0;100;0;0;100;100;100;100;100;100;100;0;0;0;100;100;100;100;100;0;0;0;100;100;100;100;0;100;0;0;100;100;0;100;0;0;100;0;0;100;100;100;0;100;0;0;0;0;0;0;100;100;100;100;0;0;100;0;0;0;100;100;100;100;0;100;100;0;0;100;100;0;100;100;100;100;100;0;0;100;100;0;0;100;0;0;100;0;100;0;100;0;100;0;0;100;100;100;0;100;0;100;100;100;0;100;100;0;100;100;100;0;0;0;100;100;0;0;100;100;0;0;0;0;100;100;0;100;100;100;0;0;0;100;0;0;0;0;0;0;100;0;0;100;0;100;0;0;100;0;0;100;0;100;100;0;100;100;0;100;0;0;0;100;0;0;0;0;0;100;0;100;100;0;100;100;100;0;100;0;0;100;100;0;0;0;100;100;0;100;0;0;0;0;100;100;0;0;100;0;0;0;0;100;0;0;100;0;0;100;0;0;0;0;100;0;0;0;100;0;100;100;0;100;100;100;0;0;0;100;0;100;100;100;100;0;100;0;100;0;100;100;0;100;100;0;100;0;100;100;0;0;0;0;0;100;0;0;100;0;100;100;100;100;100;0;0;0;100;100;100;0;0;0;0;0;0;0;100;0;100;0;100;0;0;0;0;0;0;0;0;0;0;100;100;0;0;0;100;0;100;0;0;0;0;0;0;100;0;100;0;0;100;0;0;100;100;100;100;0;0;100;100;0;0;100;0;100;0;100;0;0;100;0;0;100;100;0;0;0;0;0;100;0;0;100;100;100;0;100;0;0;0;100;100;100;100;100;0;0;100;100;0;100;100;100;0;100;100;0;0;100;0;100;100;0;100;0;100;0;0;100;100;0;100;0;100;100;0;0;100;0;100;100;100;100,220;0;0;0;0
WF_FD,llama2-7b-chat,Boolq,0.0,-1,-1,-1,197,0,269,100;100;100;0;0;100;100;100;100;100;100;100;0;0;100;100;100;100;100;100;100;0;100;100;100;100;0;100;0;100;100;0;100;0;0;100;100;0;0;100;100;0;100;100;0;100;100;100;0;0;0;0;0;100;100;100;100;0;100;100;100;100;0;100;0;100;100;100;0;100;100;0;0;100;100;0;0;100;0;100;100;0;0;100;100;100;100;0;100;100;100;0;0;100;0;0;100;0;0;100;0;0;100;100;0;100;100;0;0;100;100;100;100;100;0;0;100;0;0;100;0;100;0;100;0;0;100;100;0;0;100;100;100;100;100;100;100;0;100;100;100;0;100;100;100;100;100;100;100;100;0;0;100;0;0;100;0;100;100;0;0;0;0;100;100;100;0;0;0;100;100;100;100;100;0;0;100;100;0;0;0;100;0;100;0;0;0;0;100;0;100;0;100;100;0;100;100;0;100;0;0;100;0;0;100;100;100;100;100;100;100;0;100;0;0;0;0;100;100;0;0;100;100;0;100;100;100;100;0;0;100;100;0;100;0;100;0;0;0;100;100;100;0;100;0;100;100;100;100;100;0;0;100;100;100;0;0;0;0;100;0;0;0;100;0;100;100;100;0;0;100;0;100;100;100;0;0;100;100;100;0;0;100;0;0;100;0;100;0;0;100;100;0;0;100;100;100;100;100;100;100;0;0;0;100;100;100;100;100;0;100;0;100;100;100;100;100;0;100;100;100;100;0;100;100;0;0;0;0;100;100;100;100;0;100;100;0;100;100;0;100;100;100;0;100;100;100;100;0;0;0;100;0;0;100;100;100;0;0;0;100;100;100;100;0;0;0;100;100;100;0;0;0;100;100;100;100;100;100;100;0;0;0;100;100;0;0;0;100;0;0;0;100;100;100;0;100;100;0;100;100;0;0;100;0;0;100;0;100;100;100;100;100;100;0;100;100;0;0;0;100;100;100;100;100;100;0;100;100;0;0;0;0;100;0;0;100;100;0;100;100;100;0;0;100;0;0;0;0;0;0;100;0;0;0;100;0;100;100;100;100;100;0;0;0;100,269;0;0;0;0
CF_SD,llama2-7b-chat,NQ2,0.0,-1,-1,-1,184,0,280,100;0;0;100;100;100;100;0;100;100;100;0;0;100;100;100;100;100;0;0;0;100;100;100;0;0;0;0;100;0;0;0;0;100;100;100;100;100;100;0;100;0;100;100;100;100;100;0;100;0;0;100;0;0;0;0;100;100;100;0;100;0;0;100;0;100;100;0;100;100;0;0;0;0;100;100;100;0;100;100;100;0;100;0;100;100;0;100;100;100;100;100;0;0;100;100;0;0;0;100;100;0;100;100;0;0;0;100;0;100;0;0;100;0;0;100;100;0;100;100;0;100;100;100;0;100;0;100;100;100;100;100;100;100;100;0;0;0;100;0;100;100;0;0;100;0;0;0;0;100;100;100;100;0;100;100;100;100;100;100;100;100;0;0;0;100;100;100;100;0;0;0;0;0;0;100;0;100;0;0;0;100;0;100;100;100;100;100;100;0;100;100;100;0;0;0;0;100;100;100;0;100;100;0;100;0;100;0;100;100;100;100;100;100;0;0;0;100;0;100;100;0;100;0;100;0;100;100;0;100;100;100;0;100;100;0;100;100;100;100;0;100;100;0;0;0;100;100;0;100;0;100;100;100;0;100;100;100;100;100;100;100;100;100;0;100;100;0;100;0;100;100;0;0;0;100;0;0;100;100;100;0;100;0;100;100;0;100;100;0;100;100;100;100;100;100;100;100;0;0;100;100;0;100;0;100;0;100;100;0;0;100;100;100;0;0;0;100;0;100;100;0;100;100;0;100;100;100;0;0;0;100;0;0;0;100;0;100;100;100;100;100;100;100;100;100;0;0;100;0;0;100;100;100;100;0;100;100;0;0;100;100;100;100;100;100;100;0;100;100;100;0;100;100;100;100;0;0;0;100;100;100;100;0;100;100;100;100;0;100;100;100;100;100;100;0;100;100;0;100;100;100;100;100;100;0;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;0;100;100;0;100;100;0;100;0;100;0;0;0;100;0;100;100;100;0;0;0;100;0;100;0;100;0;100;100;100;0;100;0;100;100;100;100;0;100;0;0;0;100,280;0;0;0;0
