case,model,dataset,SR,meanT,maxT,minT,wa,pd,npd,persuasion_counts,correct_num
WF_SD,vicuna-7b-v1.5,Boolq,0.0,-1,-1,-1,182,0,284,100;0;0;100;100;100;0;100;0;100;0;0;0;100;0;0;0;100;0;0;0;0;100;100;0;0;100;100;0;0;100;100;100;100;100;0;100;100;100;0;0;100;100;100;0;0;0;100;100;100;100;100;100;100;0;100;100;100;0;0;0;100;100;0;0;0;100;0;100;0;0;100;100;0;100;100;100;100;100;100;0;100;100;100;100;100;0;100;0;0;0;0;100;100;100;100;0;100;100;100;100;100;0;0;100;0;0;100;0;0;0;100;0;100;0;100;100;0;100;100;100;100;100;100;0;100;100;0;100;100;100;100;0;0;0;100;0;0;100;0;100;100;100;100;0;0;100;0;100;100;0;100;0;100;100;0;0;100;0;0;100;100;100;0;100;0;0;100;100;0;0;0;0;0;0;100;100;0;0;100;100;100;100;100;100;100;100;100;100;0;0;100;100;0;100;100;0;100;0;0;100;100;100;100;100;0;0;0;0;100;100;100;0;100;100;100;100;100;0;100;100;0;0;100;0;0;100;100;100;0;0;100;0;0;100;0;100;100;100;0;0;100;100;100;100;0;100;0;100;100;100;100;0;100;100;100;100;0;100;0;100;100;100;0;0;100;0;0;0;100;0;100;100;0;0;100;100;100;0;100;100;100;0;100;0;0;100;100;100;100;100;0;100;100;0;0;100;100;0;100;100;100;100;100;0;100;0;0;100;100;0;100;0;100;0;0;100;100;0;100;100;100;100;100;100;100;100;0;100;100;0;0;100;0;100;100;0;100;0;0;100;100;100;0;100;100;0;0;100;100;100;0;100;100;0;0;100;0;100;100;100;0;0;0;100;100;100;0;0;0;100;100;100;0;0;100;0;100;100;0;100;100;100;0;100;0;100;100;0;100;0;100;0;0;100;0;100;100;100;100;100;100;100;0;100;100;100;100;100;100;100;0;100;0;100;100;100;100;0;100;100;100;100;0;100;100;0;0;100;100;100;100;100;0;100;0;0;0;100;0;100;0;100;100;100;100;0;100;100;0;100;100;100;0;100;100;100;0;0;100;100;100;100;100;100;0,284;0;0;0;0
WF_FD,vicuna-7b-v1.5,NQ2,0.0,-1,-1,-1,240,0,224,100;0;0;100;100;100;0;0;0;100;100;100;100;100;0;0;100;100;0;0;0;100;100;100;100;0;0;100;100;0;0;100;0;100;100;100;0;0;100;100;0;100;100;0;0;0;100;100;100;0;0;100;0;0;100;0;100;0;100;0;100;0;100;0;100;100;0;0;0;0;0;0;0;0;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;0;0;100;0;100;0;0;100;0;100;0;100;0;0;0;100;0;100;0;0;0;0;0;0;100;100;100;100;0;100;0;0;0;100;0;100;0;100;100;100;0;0;100;100;100;0;100;0;0;0;0;100;100;0;0;100;0;0;0;0;100;0;100;0;100;100;100;0;0;100;0;0;100;0;0;0;100;100;100;0;0;0;0;0;100;0;100;0;0;100;0;0;0;0;100;0;100;100;0;0;100;100;100;0;100;100;100;100;100;100;100;100;0;0;0;100;100;0;100;100;100;0;0;100;100;0;100;100;0;100;100;0;0;0;0;100;0;100;0;0;0;100;100;100;0;0;100;0;0;100;0;100;0;0;100;0;0;100;0;100;0;0;100;100;100;100;100;100;0;100;0;100;0;100;0;0;100;0;100;0;100;0;0;0;0;100;0;0;100;0;0;100;100;0;100;0;0;100;0;0;100;100;100;0;100;100;100;0;100;0;100;0;0;100;0;100;0;0;100;0;0;100;100;0;0;0;0;100;0;100;0;0;100;0;0;100;100;100;100;0;0;0;100;100;0;100;0;100;100;0;0;0;0;0;0;100;100;0;100;0;0;0;0;0;100;0;0;100;100;0;100;100;100;100;100;100;0;0;100;0;100;0;0;0;100;100;0;0;100;0;100;0;0;100;100;100;100;100;0;100;100;100;100;0;100;0;0;0;0;100;0;100;0;0;0;0;0;100;0;100;0;100;0;100;100;100;0;100;0;100;100;0;0;0;0;100;100;0;100;0;0;100;0;0;100;100;100;0;0;0;0;0;100;0;0;0;100;0;0;0;100;0;100;0;100;100;100;100;0;100;100;100;0;100,224;0;0;0;0
WF_FD,vicuna-7b-v1.5,NQ1,0.0,-1,-1,-1,232,0,231,100;0;100;100;0;0;0;0;100;100;100;100;0;100;100;0;100;0;100;100;0;100;100;0;0;100;100;100;0;100;0;100;100;100;0;100;0;0;100;100;0;0;0;0;100;0;0;100;0;0;100;0;100;0;100;0;100;0;0;100;100;0;0;100;100;100;100;100;0;0;0;100;100;100;100;100;0;0;100;0;0;100;0;100;100;0;100;0;100;0;100;0;0;100;0;0;100;0;0;100;0;100;100;0;0;100;0;0;100;100;100;100;100;100;0;0;100;100;100;100;0;100;0;100;0;0;100;100;0;100;100;100;0;0;100;100;0;100;0;0;100;100;0;0;100;0;0;100;0;0;100;100;0;100;0;0;0;0;100;0;100;100;0;100;0;0;0;100;100;0;0;100;0;0;0;0;0;100;100;0;100;100;0;0;100;0;0;0;0;100;0;100;0;100;100;100;100;0;0;100;100;100;100;0;100;0;0;100;0;0;0;0;0;100;0;0;0;100;100;0;0;0;100;0;100;100;100;100;100;0;100;0;0;100;0;100;0;0;0;0;0;100;100;100;0;100;100;100;0;100;100;0;0;0;100;100;100;100;100;0;0;100;0;0;100;0;100;100;100;0;0;100;0;0;100;0;0;100;100;0;0;100;0;100;0;0;0;100;100;0;100;0;100;0;100;100;100;100;0;100;100;0;100;100;100;0;0;100;0;0;0;0;100;100;0;100;0;100;100;100;0;100;0;0;0;0;0;100;100;100;0;0;100;100;100;100;100;0;0;0;0;100;100;0;100;100;0;0;0;100;100;100;0;100;100;0;0;100;0;100;100;0;0;0;100;0;100;100;100;0;0;0;100;0;100;100;0;0;0;0;100;100;0;0;100;0;100;100;0;100;100;100;100;100;0;100;0;0;100;100;0;100;0;0;0;0;0;100;0;100;100;100;0;100;0;100;100;100;0;100;0;0;0;100;0;0;0;100;0;100;100;0;0;100;100;100;100;0;0;0;0;0;0;0;0;100;0;0;0;100;100;100;100;100;100;100;0;0;100;100;0;0;0,231;0;0;0;0
WF_FD,vicuna-7b-v1.5,TruthfulQA,0.0,-1,-1,-1,265,0,194,100;100;0;100;100;100;0;100;0;100;0;0;100;0;100;100;0;0;0;0;0;100;100;0;0;0;100;0;0;100;0;100;0;0;0;0;0;0;100;100;100;0;0;0;0;0;0;100;100;100;0;100;100;100;0;0;100;0;100;100;0;0;100;0;0;0;0;0;0;100;100;0;0;0;0;100;100;100;0;0;100;100;0;0;0;100;100;100;100;0;100;0;0;100;100;0;100;0;100;100;100;0;0;100;0;0;0;0;0;0;0;0;0;100;100;100;100;0;0;100;0;0;0;100;0;100;100;0;100;100;0;0;100;0;0;0;0;0;100;0;0;0;100;100;0;100;0;0;0;100;0;100;0;100;100;100;0;0;100;100;100;0;100;0;100;0;100;0;100;0;0;0;100;100;100;0;0;100;100;0;100;0;100;0;0;0;0;100;0;0;100;0;0;0;0;0;100;0;100;0;0;0;0;0;100;0;0;100;0;0;0;0;0;100;0;0;100;100;0;100;100;0;100;100;0;0;0;0;0;0;0;100;100;0;100;0;100;100;100;100;0;100;0;0;0;100;100;100;0;100;0;0;0;100;0;0;0;100;0;0;0;100;0;0;0;0;0;0;0;100;100;0;0;0;0;100;100;100;0;100;0;100;0;0;100;0;100;100;100;0;0;0;100;0;100;100;100;100;0;100;100;0;100;100;100;100;100;100;0;100;0;0;100;0;0;0;0;0;0;0;0;100;100;0;100;100;0;100;0;0;0;0;100;100;0;100;0;0;0;0;100;100;0;100;0;100;0;0;0;0;100;0;0;0;0;0;100;100;0;0;0;100;0;100;0;100;0;0;0;100;0;0;100;0;100;100;0;0;100;0;100;100;100;100;100;100;0;0;100;0;100;100;0;0;0;100;0;0;100;100;100;0;0;100;0;100;0;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;0;0;100;100;100;100;0;0;100;100;0;100;0;100;100;100;100;0;0;0;0;100;0;0;100;0;100;100;0;0;100;0;0;100;100;100,194;0;0;0;0
CF_SD,vicuna-7b-v1.5,Boolq,0.0,-1,-1,-1,173,0,293,100;100;0;100;100;100;0;100;0;100;0;0;0;100;0;0;0;100;0;0;0;0;100;100;0;0;100;100;0;0;0;100;100;100;0;0;100;100;100;0;0;100;100;100;0;0;0;100;100;100;100;100;100;100;0;100;100;100;0;0;0;100;100;100;0;100;100;100;100;0;0;100;100;0;100;100;100;100;100;100;0;100;100;100;100;100;0;100;0;0;0;0;100;100;100;100;0;100;100;100;100;100;0;0;100;0;0;100;0;0;0;100;0;100;0;100;100;100;100;100;100;100;100;100;0;100;100;0;100;100;100;100;0;0;0;100;0;100;100;0;100;100;100;100;0;0;100;0;100;100;0;100;100;100;100;0;0;100;0;0;100;100;100;0;100;0;0;100;100;0;0;0;0;0;0;100;100;0;0;100;100;100;100;100;100;100;100;100;100;0;0;100;100;0;100;100;0;100;0;0;100;100;100;100;100;0;0;0;0;100;100;100;0;100;100;100;100;100;0;100;100;0;0;100;0;0;100;100;100;0;0;100;100;100;100;0;100;100;100;0;0;100;100;100;100;0;100;0;100;100;100;100;0;100;100;100;100;0;100;0;100;100;100;0;0;100;0;0;0;100;0;100;100;0;0;100;100;100;0;100;100;100;0;100;0;0;100;100;100;100;100;0;100;100;0;0;100;100;0;100;100;100;100;100;0;100;0;0;100;100;100;100;0;100;0;0;100;100;0;100;100;100;100;100;100;100;100;0;100;100;0;0;100;0;100;100;0;100;0;0;100;100;100;0;100;100;0;0;100;100;100;0;100;100;0;0;100;0;100;100;100;0;0;0;100;100;100;0;0;0;100;100;100;100;0;100;0;100;100;0;100;100;100;0;100;0;100;100;0;100;0;100;0;0;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;0;0;100;0;100;100;100;100;0;100;100;100;100;0;100;100;0;0;100;100;100;100;100;0;100;0;0;0;100;0;100;0;100;100;100;100;0;100;100;0;100;100;100;0;100;100;100;0;0;100;100;100;100;100;100;0,293;0;0;0;0
WF_SD,vicuna-7b-v1.5,NQ1,0.0,-1,-1,-1,244,0,219,0;0;100;100;0;0;100;0;0;0;0;100;0;0;100;0;0;100;100;100;0;100;100;0;100;100;100;0;100;100;0;100;100;100;0;100;100;100;100;0;0;0;100;0;100;0;0;100;0;0;100;100;100;0;0;0;100;0;0;100;100;0;0;0;100;0;0;0;0;0;0;100;100;100;0;100;100;0;0;0;0;100;0;100;100;0;0;100;100;0;100;100;0;100;0;0;100;100;100;0;0;0;100;0;0;0;0;0;100;0;0;0;100;100;0;0;100;100;100;100;0;100;100;100;0;0;100;100;100;100;0;100;0;100;0;100;0;0;0;100;100;0;0;0;100;0;100;100;100;0;100;100;100;100;100;0;100;0;100;0;0;100;100;0;0;0;0;0;100;0;0;100;0;100;0;0;0;0;100;0;0;100;100;0;0;0;0;0;100;100;0;100;0;100;100;100;0;0;0;0;100;0;100;0;100;0;0;100;0;0;100;100;0;100;100;0;0;0;100;0;100;0;100;0;0;100;100;100;100;0;100;0;100;100;0;100;0;0;0;0;0;100;100;100;0;0;100;100;100;100;0;0;0;0;0;0;100;100;0;0;100;100;0;0;0;0;100;0;100;0;0;100;0;0;0;100;0;100;100;0;0;100;0;100;0;0;0;0;0;0;0;100;100;0;100;0;0;100;0;100;100;100;100;100;100;100;100;100;0;0;100;0;100;100;0;100;0;100;100;100;0;100;100;100;0;0;0;100;100;0;0;0;0;100;100;0;0;0;100;100;100;100;100;100;0;0;0;0;0;0;100;0;0;100;100;0;0;100;100;100;100;0;0;0;100;0;100;0;100;0;0;0;100;0;100;0;100;0;100;0;100;0;0;0;100;100;100;100;0;100;100;100;100;0;100;100;0;100;100;100;0;100;0;100;100;100;0;100;0;100;0;100;100;0;0;100;0;100;0;100;0;0;100;100;100;0;0;0;0;0;100;0;0;100;100;100;100;0;0;0;0;0;0;100;0;100;0;0;0;0;0;100;0;100;100;0;0;0;100;100;0;0;100,219;0;0;0;0
WF_SD,vicuna-7b-v1.5,NQ2,0.0,-1,-1,-1,242,0,222,100;0;0;100;100;100;0;0;0;0;100;0;0;100;0;0;100;100;0;0;100;100;100;100;100;0;0;0;100;0;100;100;0;100;100;100;0;100;100;0;0;100;100;0;100;100;100;0;100;0;0;100;0;0;100;0;100;100;0;0;100;0;100;0;100;0;0;0;100;0;0;0;0;0;0;100;100;100;0;100;100;0;100;100;0;100;100;100;100;0;0;100;100;100;100;0;0;100;0;100;0;0;100;100;0;0;0;100;0;100;100;0;0;0;100;100;0;100;0;100;0;100;100;100;0;100;0;100;100;100;100;0;100;0;100;0;100;0;100;0;100;0;100;0;0;0;0;0;0;100;100;0;100;0;0;0;0;0;100;100;0;0;0;100;0;0;100;100;0;0;0;0;0;0;100;0;100;0;0;100;0;0;0;100;100;0;0;0;0;0;100;100;0;0;100;100;0;100;0;100;0;100;0;0;0;0;100;0;100;100;100;100;0;100;0;0;0;100;0;0;0;0;0;100;100;0;100;100;0;0;100;100;100;100;100;0;100;0;0;100;0;100;0;0;0;0;100;100;0;100;0;0;100;100;100;100;100;0;0;100;100;100;100;0;0;100;100;0;100;0;100;100;100;0;0;100;0;0;100;0;0;0;100;0;0;100;0;0;0;0;100;0;100;0;100;0;100;100;0;0;0;100;0;100;0;100;100;100;0;0;0;100;100;0;0;100;0;100;0;100;0;0;0;0;0;100;100;0;0;100;0;100;100;100;0;0;0;100;100;0;0;0;100;100;100;100;100;0;100;0;100;100;0;100;100;0;100;100;0;0;100;0;100;100;100;100;0;0;100;0;100;0;0;100;100;100;0;0;100;0;100;0;0;0;100;0;0;100;0;100;100;100;100;0;0;100;0;100;0;100;100;0;100;0;100;0;0;100;0;100;0;100;100;100;100;100;0;100;0;100;100;0;0;100;0;100;0;0;100;0;100;0;0;0;100;0;100;0;100;0;0;0;100;0;100;0;100;0;100;100;0;0;0;0;100;0;0;100;0;100;100;0;0;100,222;0;0;0;0
CF_FD,vicuna-7b-v1.5,Boolq,0.0,-1,-1,-1,175,0,291,100;0;0;100;100;100;0;100;0;100;0;0;0;100;0;0;0;100;0;0;0;0;100;100;100;0;100;100;100;0;0;100;100;100;0;0;100;100;100;0;0;100;100;100;0;0;0;100;100;100;100;100;100;100;0;100;100;100;0;0;0;100;100;0;0;0;100;0;100;0;0;100;100;0;100;100;100;100;100;100;0;100;100;100;100;100;0;100;0;0;0;0;100;100;100;100;0;100;100;100;100;100;0;0;100;0;0;100;0;0;0;0;0;100;0;100;100;100;100;100;100;100;100;100;0;100;100;0;100;100;100;100;0;0;0;100;0;100;100;0;100;100;100;100;0;0;100;0;100;100;0;100;0;100;100;0;0;100;0;0;100;100;100;0;100;0;0;100;100;0;0;0;100;0;0;100;100;0;0;100;100;100;100;100;100;100;100;100;100;0;100;100;100;0;100;100;0;0;0;0;100;100;100;100;100;0;0;0;0;100;100;100;100;0;100;100;100;100;0;100;100;0;0;100;0;0;100;100;100;0;0;100;100;0;100;0;100;100;100;0;100;100;100;100;100;0;100;0;100;100;100;100;100;100;100;100;100;0;100;0;100;100;100;0;0;100;0;0;0;100;0;100;100;0;0;100;100;100;0;100;100;100;0;100;0;0;100;100;100;100;100;0;100;100;0;100;100;100;0;100;100;100;100;100;0;100;100;0;100;100;0;100;0;100;0;0;100;100;0;100;100;100;100;100;100;100;100;0;100;100;0;0;100;0;100;100;0;0;0;0;100;100;100;0;100;100;0;0;100;100;100;0;100;100;0;0;100;0;100;100;100;0;0;0;100;100;100;0;0;0;100;100;100;100;0;100;0;100;100;0;100;100;100;0;100;0;100;100;0;100;0;100;100;0;100;100;100;100;100;100;100;100;100;0;100;100;100;100;100;100;0;0;100;0;100;100;100;100;0;100;100;100;100;0;100;100;0;0;0;100;100;100;100;0;100;0;0;0;100;0;100;0;100;100;100;100;0;100;100;0;100;100;100;0;100;100;100;0;0;100;100;100;100;100;100;0,291;0;0;0;0
WF_SD,vicuna-7b-v1.5,TruthfulQA,0.0,-1,-1,-1,294,0,165,0;100;0;100;100;100;0;0;0;100;0;0;100;0;100;0;0;0;0;0;0;0;100;0;0;100;100;0;0;100;0;100;0;0;0;0;0;100;100;100;100;0;0;0;0;0;100;100;100;100;100;0;100;100;0;0;0;0;100;100;0;0;100;0;0;0;0;0;0;100;0;0;0;0;0;100;0;100;0;0;100;0;0;0;0;0;100;100;100;0;100;0;0;100;100;0;100;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;100;100;0;100;0;100;0;100;0;100;100;0;100;100;0;0;100;0;0;0;100;0;100;100;0;0;100;100;0;0;100;0;0;100;0;100;0;0;100;100;0;0;0;100;100;0;100;0;100;0;0;0;100;0;0;0;100;100;0;0;0;100;100;0;100;0;100;0;0;0;0;0;100;0;0;100;100;0;0;100;0;100;100;100;0;0;0;0;100;0;0;100;0;0;0;0;0;100;0;0;100;100;0;100;0;0;100;0;0;0;0;0;0;0;0;100;100;0;100;100;100;0;100;100;0;100;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;100;100;100;0;100;0;100;0;0;100;0;100;100;100;0;0;0;100;0;100;100;100;100;0;100;0;0;0;100;0;0;100;100;0;100;0;0;100;0;0;0;0;100;0;0;0;100;100;0;100;100;100;100;0;0;0;0;100;100;0;0;0;0;0;0;0;100;0;100;0;100;0;0;0;0;100;0;0;0;0;0;100;100;0;0;0;100;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100;100;0;100;100;0;0;0;100;0;100;0;0;0;0;0;0;0;100;100;100;0;0;100;0;100;0;0;0;100;100;0;0;0;0;0;0;0;0;0;100;0;0;0;0;100;100;0;100;100;0;100;100;0;100;0;100;100;100;0;0;0;0;0;100;0;0;100;100;100;100;0;0;100;0;100;0;100;100,165;0;0;0;0
CF_SD,vicuna-7b-v1.5,NQ1,0.0,-1,-1,-1,196,0,267,0;0;100;100;0;0;100;100;100;0;0;100;100;0;100;0;0;100;0;100;100;100;100;0;100;100;100;100;100;100;0;100;100;100;0;100;100;100;100;0;100;100;100;100;100;0;0;100;100;0;0;0;100;0;100;0;100;0;100;100;0;0;100;0;100;100;0;100;0;100;0;100;100;100;100;100;100;100;100;0;0;100;100;100;100;0;0;0;100;0;100;0;0;100;0;0;100;100;100;0;0;0;100;0;100;0;0;0;100;100;0;0;100;100;100;0;100;100;100;100;0;100;100;100;100;0;100;100;0;100;0;0;0;100;0;100;100;0;0;100;100;0;0;0;100;0;100;100;100;0;100;0;100;100;100;0;100;100;100;0;100;100;100;0;0;0;0;0;100;100;0;0;0;0;0;0;0;100;100;0;100;0;100;0;100;100;0;0;0;100;100;100;100;100;100;100;100;0;100;0;100;0;0;0;100;0;0;100;0;0;100;100;0;100;100;0;0;0;100;100;100;0;100;0;0;100;0;100;100;0;100;100;100;100;0;100;0;0;0;0;0;100;0;100;0;100;100;100;100;100;100;0;0;100;100;100;100;100;0;0;100;100;0;0;100;0;100;0;100;0;0;0;0;0;100;100;0;100;100;0;0;100;0;0;0;100;100;0;100;0;100;100;100;0;100;0;100;100;0;100;100;100;100;100;100;0;100;100;100;100;100;100;100;100;0;100;100;100;100;100;0;100;100;0;0;100;0;100;100;100;0;0;0;100;100;0;0;100;100;100;100;100;0;0;100;0;100;100;100;0;100;0;100;100;100;0;0;100;100;100;100;100;0;0;100;0;100;100;100;0;100;0;100;0;100;0;100;0;100;0;100;0;0;0;100;100;100;100;100;0;100;100;100;100;100;100;0;100;0;100;100;100;0;0;100;100;0;100;100;100;0;100;100;100;100;100;0;100;0;100;100;0;0;100;100;0;0;0;0;0;100;0;0;100;100;100;100;0;100;0;0;0;0;100;0;100;0;0;0;0;0;100;0;100;100;100;100;0;100;100;0;0;100,267;0;0;0;0
